defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,Assembly_Station,Shift,Inspector_ID,Defect_Present,Total_Units_Produced,Units_Passed_First_Time,Units_Reworked,Units_Rejected,Specific_Defect_Type,Root_Cause,Corrective_Action,Preventive_Action,Implementation_Status,Defect_Risk_Probability
38,51,Functional,02/07/2026,Internal,Moderate,Automated Testing,107.7,dial,2,I-102,1,236,168,8,60,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8352
39,12,Functional,02/24/2026,Internal,Critical,Manual Testing,27.24,dial,3,I-104,1,428,341,44,43,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.846
40,92,Cosmetic,09/06/2025,Surface,Critical,Visual Inspection,370.83,strap,3,I-103,0,265,254,14,-3,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7202
41,63,Functional,11/10/2025,Component,Minor,Manual Testing,526.08,strap,1,I-103,1,409,329,60,20,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7558
42,49,Functional,01/17/2026,Surface,Critical,Automated Testing,144.38,strap,1,I-102,1,199,185,11,3,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7731
43,72,Cosmetic,11/22/2025,Surface,Moderate,Visual Inspection,534.33,case,1,I-104,1,208,194,13,1,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8621
44,24,Structural,01/17/2026,Surface,Minor,Visual Inspection,456.8,movement,2,I-103,0,442,355,41,46,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7948
45,64,Functional,01/26/2026,Surface,Minor,Automated Testing,215.01,movement,1,I-101,0,272,238,33,1,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7571
46,36,Structural,12/24/2025,Surface,Moderate,Manual Testing,824.3,movement,3,I-103,1,336,244,25,67,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7794
47,79,Structural,10/15/2025,Component,Critical,Manual Testing,769.28,movement,3,I-101,1,261,190,18,53,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7216
48,36,Structural,09/03/2025,Component,Moderate,Manual Testing,160.25,strap,1,I-102,1,492,351,73,68,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7731
49,65,Functional,10/25/2025,Component,Minor,Automated Testing,386.17,case,1,I-101,1,315,271,3,41,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7781
50,9,Functional,09/06/2025,Component,Moderate,Manual Testing,572.08,case,3,I-103,1,363,297,49,17,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.799
51,10,Structural,02/25/2026,Internal,Minor,Visual Inspection,433.85,strap,2,I-103,1,362,308,11,43,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7384
52,7,Structural,01/18/2026,Surface,Minor,Manual Testing,338.1,case,1,I-103,1,391,330,46,15,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8269
53,81,Functional,09/03/2025,Surface,Critical,Automated Testing,93.13,strap,1,I-102,1,373,297,35,41,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7731
54,62,Cosmetic,01/13/2026,Component,Moderate,Visual Inspection,308.37,movement,3,I-102,0,102,90,5,7,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7955
55,29,Structural,11/22/2025,Internal,Critical,Automated Testing,396.58,strap,1,I-104,1,127,115,16,-4,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8019
56,73,Structural,09/19/2025,Surface,Minor,Automated Testing,957.6,movement,2,I-103,1,425,299,5,121,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7948
57,86,Structural,11/05/2025,Internal,Moderate,Automated Testing,205.19,movement,3,I-101,1,248,187,10,51,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7216
58,5,Cosmetic,01/24/2026,Component,Critical,Manual Testing,300.27,dial,1,I-102,1,127,114,11,2,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8475
59,79,Structural,11/09/2025,Internal,Critical,Automated Testing,671.22,strap,3,I-103,1,409,330,24,55,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7202
60,87,Functional,10/19/2025,Surface,Minor,Visual Inspection,395.1,dial,1,I-103,1,164,145,15,4,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8347
61,60,Structural,02/10/2026,Component,Critical,Visual Inspection,675.89,strap,1,I-102,0,455,362,6,87,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7731
62,43,Cosmetic,11/07/2025,Component,Moderate,Visual Inspection,523.02,strap,1,I-104,1,120,97,3,20,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8019
63,52,Structural,09/02/2025,Surface,Critical,Manual Testing,337.5,dial,2,I-102,1,351,261,9,81,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8352
64,2,Cosmetic,09/11/2025,Surface,Minor,Automated Testing,830.89,dial,2,I-102,1,334,257,12,65,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8352
65,22,Functional,12/16/2025,Component,Critical,Visual Inspection,84.97,strap,3,I-101,0,326,283,24,19,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.6538
66,31,Functional,01/23/2026,Internal,Minor,Visual Inspection,771.96,case,1,I-101,1,112,91,12,9,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.7781
67,87,Functional,11/14/2025,Internal,Minor,Automated Testing,46.43,movement,1,I-104,0,412,377,56,-21,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8475
68,11,Cosmetic,12/16/2025,Internal,Minor,Automated Testing,31.91,dial,2,I-103,1,148,138,18,-8,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8216
69,33,Cosmetic,01/18/2026,Component,Moderate,Automated Testing,845.8,movement,1,I-102,1,217,184,8,25,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8238
70,17,Functional,10/20/2025,Component,Minor,Manual Testing,729.55,case,2,I-104,1,153,139,10,4,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8508
71,71,Cosmetic,11/04/2025,Surface,Moderate,Automated Testing,187.03,case,1,I-101,1,237,186,8,43,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7781
72,35,Structural,02/28/2026,Component,Moderate,Automated Testing,470.35,case,3,I-102,1,152,124,7,21,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8139
73,15,Functional,01/19/2026,Internal,Minor,Visual Inspection,662.35,dial,1,I-103,0,143,128,11,4,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8347
74,43,Functional,12/04/2025,Component,Critical,Visual Inspection,509.97,case,1,I-101,0,402,324,7,71,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7781
75,2,Functional,09/03/2025,Component,Critical,Manual Testing,352.33,dial,2,I-101,1,152,131,6,15,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7716
76,36,Functional,11/26/2025,Surface,Minor,Manual Testing,228.22,case,1,I-101,1,173,130,24,19,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7781
77,64,Functional,10/07/2025,Component,Critical,Manual Testing,632.45,movement,1,I-104,1,145,125,10,10,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8475
78,28,Functional,02/19/2026,Component,Critical,Automated Testing,975.87,movement,2,I-103,1,112,105,8,-1,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7948
79,69,Structural,11/22/2025,Internal,Moderate,Visual Inspection,967.14,strap,3,I-102,0,264,249,3,12,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7391
80,75,Structural,09/11/2025,Surface,Moderate,Automated Testing,992.69,movement,3,I-104,1,201,181,8,12,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8221
81,69,Functional,11/13/2025,Surface,Minor,Manual Testing,827.74,strap,2,I-104,1,379,344,49,-14,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7869
82,74,Structural,12/02/2025,Component,Critical,Automated Testing,270.97,movement,2,I-104,1,357,305,11,41,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8352
83,69,Structural,12/11/2025,Surface,Critical,Visual Inspection,712.98,dial,2,I-101,1,436,376,29,31,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.7716
84,11,Structural,02/23/2026,Component,Critical,Manual Testing,556.05,movement,2,I-103,1,455,335,5,115,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7948
85,92,Structural,12/27/2025,Component,Minor,Manual Testing,200.11,strap,2,I-104,1,497,409,38,50,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7869
86,70,Structural,09/14/2025,Component,Moderate,Automated Testing,660.05,strap,3,I-102,0,237,195,3,39,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7391
87,22,Structural,09/21/2025,Component,Moderate,Manual Testing,220.96,case,3,I-103,0,262,253,32,-23,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.799
88,9,Functional,10/10/2025,Component,Critical,Visual Inspection,776.54,dial,2,I-102,1,486,398,60,28,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.8352
89,6,Functional,12/31/2025,Surface,Moderate,Visual Inspection,920.26,movement,1,I-103,1,210,179,25,6,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8095
90,58,Structural,10/18/2025,Internal,Moderate,Visual Inspection,492.22,case,2,I-102,0,201,170,9,22,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8275
91,98,Cosmetic,11/06/2025,Surface,Critical,Manual Testing,513.45,movement,1,I-101,1,116,101,14,1,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7571
92,93,Functional,03/01/2026,Component,Moderate,Automated Testing,286.28,movement,2,I-104,1,367,333,31,3,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8352
93,10,Functional,12/01/2025,Surface,Minor,Automated Testing,698.89,case,2,I-102,1,281,214,17,50,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8275
94,72,Cosmetic,10/03/2025,Internal,Critical,Visual Inspection,555.25,case,3,I-103,1,471,399,45,27,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.799
95,36,Cosmetic,01/15/2026,Component,Moderate,Manual Testing,465.92,case,1,I-104,1,123,114,1,8,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8621
96,11,Structural,11/07/2025,Component,Critical,Manual Testing,732.13,case,1,I-104,1,128,106,3,19,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8621
97,56,Structural,11/14/2025,Component,Moderate,Automated Testing,582.46,case,3,I-103,0,270,210,30,30,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.799
98,67,Cosmetic,11/09/2025,Component,Moderate,Visual Inspection,647.7,movement,3,I-102,1,327,288,14,25,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7955
99,67,Structural,12/08/2025,Component,Critical,Visual Inspection,536.57,case,3,I-101,1,477,443,44,-10,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7446
100,8,Functional,12/24/2025,Surface,Minor,Visual Inspection,673.85,dial,3,I-101,1,287,205,18,64,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.755
101,27,Structural,09/25/2025,Internal,Minor,Manual Testing,871.1,strap,1,I-102,1,445,408,57,-20,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7731
102,79,Structural,02/24/2026,Internal,Critical,Visual Inspection,973.66,case,1,I-104,1,329,305,47,-23,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8621
103,87,Functional,01/30/2026,Internal,Critical,Visual Inspection,787.42,case,2,I-104,1,420,348,56,16,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8508
104,1,Structural,02/24/2026,Surface,Minor,Manual Testing,338.48,movement,2,I-104,1,439,428,21,-10,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8352
105,49,Structural,12/30/2025,Component,Critical,Visual Inspection,922.07,case,3,I-104,1,218,200,8,10,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8387
106,9,Functional,01/13/2026,Surface,Moderate,Manual Testing,137.41,case,3,I-102,1,255,233,19,3,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8139
107,63,Structural,02/27/2026,Surface,Critical,Automated Testing,17.89,case,3,I-104,0,371,337,4,30,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.8387
108,97,Cosmetic,09/26/2025,Surface,Moderate,Manual Testing,210.3,movement,2,I-103,1,274,203,3,68,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7948
109,1,Cosmetic,10/23/2025,Component,Critical,Automated Testing,978.5,case,2,I-104,1,203,154,17,32,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8508
110,44,Functional,11/04/2025,Surface,Minor,Visual Inspection,381.15,strap,2,I-101,1,191,158,15,18,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.6744
111,27,Structural,01/05/2026,Component,Moderate,Manual Testing,302.42,movement,2,I-104,0,285,220,42,23,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8352
112,9,Cosmetic,09/12/2025,Component,Minor,Automated Testing,813.46,strap,2,I-102,1,382,311,14,57,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.7565
113,67,Cosmetic,12/08/2025,Surface,Minor,Automated Testing,998.27,movement,2,I-101,1,280,265,12,3,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.7398
114,83,Functional,09/25/2025,Component,Critical,Manual Testing,498.47,case,2,I-102,1,269,250,6,13,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8275
115,66,Functional,12/30/2025,Internal,Moderate,Visual Inspection,362.23,strap,3,I-102,1,286,250,39,-3,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.7391
116,36,Cosmetic,09/09/2025,Internal,Critical,Visual Inspection,194.79,movement,3,I-101,0,274,257,32,-15,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.7216
117,64,Cosmetic,09/11/2025,Surface,Moderate,Visual Inspection,677.65,dial,3,I-102,1,321,295,40,-14,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8221
118,66,Structural,12/10/2025,Surface,Critical,Manual Testing,310.8,case,3,I-102,1,332,272,45,15,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8139
119,99,Structural,11/04/2025,Surface,Minor,Visual Inspection,717.21,movement,2,I-104,1,261,197,21,43,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.8352
120,80,Functional,11/07/2025,Component,Critical,Manual Testing,641.58,dial,1,I-103,1,233,196,17,20,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8347
121,86,Structural,02/08/2026,Internal,Minor,Manual Testing,520.84,movement,2,I-102,0,490,444,27,19,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.81
122,51,Structural,12/16/2025,Surface,Critical,Manual Testing,271.18,dial,1,I-102,0,323,265,29,29,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8475
123,79,Cosmetic,10/05/2025,Internal,Minor,Manual Testing,657.81,case,3,I-102,0,252,223,18,11,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.8139
124,100,Functional,11/26/2025,Internal,Moderate,Manual Testing,620.66,strap,2,I-104,1,132,95,9,28,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7869
125,86,Cosmetic,11/09/2025,Surface,Critical,Visual Inspection,533.03,dial,3,I-103,1,154,140,21,-7,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8077
126,29,Structural,10/02/2025,Surface,Minor,Visual Inspection,21.77,movement,2,I-101,1,106,98,15,-7,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7398
127,68,Cosmetic,01/18/2026,Surface,Minor,Manual Testing,302.22,case,3,I-104,1,343,307,41,-5,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8387
128,92,Cosmetic,11/01/2025,Internal,Moderate,Automated Testing,895.38,dial,1,I-104,1,412,399,47,-34,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8685
129,14,Cosmetic,02/19/2026,Surface,Critical,Visual Inspection,241.61,movement,1,I-103,0,225,209,23,-7,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.8095
130,72,Cosmetic,12/06/2025,Internal,Critical,Automated Testing,878.46,movement,1,I-103,0,111,105,3,3,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8095
131,61,Functional,01/14/2026,Internal,Critical,Visual Inspection,268.08,movement,2,I-104,1,115,110,2,3,Loose strap,Improper torque,Recalibrate tool,Set SOP,Pending,0.8352
132,63,Structural,12/23/2025,Surface,Critical,Visual Inspection,492.32,dial,1,I-101,1,307,283,32,-8,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.7874
133,86,Structural,11/19/2025,Surface,Moderate,Manual Testing,379.78,dial,2,I-104,1,142,126,15,1,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.8576
134,98,Cosmetic,10/04/2025,Surface,Moderate,Visual Inspection,498.71,dial,1,I-103,1,472,331,7,134,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8347
135,61,Cosmetic,10/16/2025,Internal,Moderate,Automated Testing,379.01,strap,1,I-101,1,234,194,32,8,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.6943
136,67,Functional,10/22/2025,Internal,Minor,Automated Testing,79.52,dial,2,I-103,1,327,281,7,39,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.8216
137,2,Functional,12/19/2025,Internal,Critical,Automated Testing,602.25,dial,2,I-101,1,210,164,10,36,Case damage,Machine fault,Replace part,Routine maintenance,In Progress,0.7716
138,11,Structural,11/04/2025,Component,Critical,Automated Testing,575.71,dial,1,I-102,1,406,320,42,44,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8475
139,58,Cosmetic,02/23/2026,Surface,Critical,Visual Inspection,760.33,strap,2,I-103,0,259,251,8,0,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.7384
140,68,Functional,12/04/2025,Internal,Critical,Manual Testing,955.54,dial,1,I-103,0,430,408,7,15,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.8347
141,28,Cosmetic,09/06/2025,Internal,Minor,Visual Inspection,679.88,movement,2,I-104,1,363,340,20,3,Dial scratch,Handling error,Operator training,Visual inspection,Pending,0.8352
142,63,Structural,11/24/2025,Internal,Critical,Visual Inspection,71.91,dial,3,I-103,1,324,263,37,24,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8077
143,100,Functional,01/26/2026,Internal,Moderate,Manual Testing,916.79,movement,3,I-103,1,316,222,21,73,Movement error,Calibration issue,Reset machine,Daily checks,Pending,0.7794
144,45,Cosmetic,02/17/2026,Internal,Moderate,Manual Testing,558.34,movement,3,I-102,0,144,104,14,26,Case damage,Machine fault,Replace part,Routine maintenance,Completed,0.7955
145,25,Structural,09/16/2025,Internal,Minor,Manual Testing,23.02,movement,3,I-103,1,313,246,28,39,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7794
146,43,Cosmetic,12/26/2025,Internal,Minor,Visual Inspection,346.23,strap,3,I-102,1,158,111,2,45,Loose strap,Improper torque,Recalibrate tool,Set SOP,In Progress,0.7391
147,45,Structural,12/05/2025,Internal,Critical,Automated Testing,926.31,strap,1,I-102,1,231,162,34,35,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7731
148,84,Cosmetic,09/29/2025,Internal,Critical,Automated Testing,783.88,strap,3,I-102,1,203,194,3,6,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.7391
149,41,Cosmetic,09/25/2025,Surface,Moderate,Automated Testing,747.18,dial,3,I-102,1,294,263,42,-11,Dial scratch,Handling error,Operator training,Visual inspection,In Progress,0.8221
150,53,Functional,11/21/2025,Surface,Critical,Manual Testing,415.84,movement,3,I-101,1,256,201,22,33,Movement error,Calibration issue,Reset machine,Daily checks,Completed,0.7216
151,61,Structural,02/06/2026,Component,Minor,Visual Inspection,502.15,strap,3,I-104,1,197,145,28,24,Dial scratch,Handling error,Operator training,Visual inspection,Completed,0.771
152,97,Structural,09/27/2025,Internal,Moderate,Manual Testing,94.7,strap,2,I-101,1,325,274,8,43,Case damage,Machine fault,Replace part,Routine maintenance,Pending,0.6744
153,63,Cosmetic,09/09/2025,Surface,Minor,Manual Testing,426.04,dial,1,I-103,1,304,213,23,68,Movement error,Calibration issue,Reset machine,Daily checks,In Progress,0.8347
154,75,Cosmetic,01/02/2026,Surface,Moderate,Automated Testing,380.52,strap,3,I-101,1,178,171,6,1,Loose strap,Improper torque,Recalibrate tool,Set SOP,Completed,0.6538
